"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0세","2026년06월_계_1세","2026년06월_계_2세","2026년06월_계_3세","2026년06월_계_4세","2026년06월_계_5세","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0세","2026년06월_남_1세","2026년06월_남_2세","2026년06월_남_3세","2026년06월_남_4세","2026년06월_남_5세","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0세","2026년06월_여_1세","2026년06월_여_2세","2026년06월_여_3세","2026년06월_여_4세","2026년06월_여_5세"
"인천광역시 계양구 계산2동(2824561200)","13,779","202","33","38","36","33","26","36","6,834","103","18","22","17","24","12","10","6,945","99","15","16","19","9","14","26"
"인천광역시 계양구 계산3동(2824561300)","16,842","257","59","51","32","34","34","47","8,030","119","23","22","18","18","16","22","8,812","138","36","29","14","16","18","25"
"인천광역시 계양구 계산4동(2824561400)","22,079","422","60","54","65","70","83","90","11,209","213","33","31","33","34","36","46","10,870","209","27","23","32","36","47","44"
"인천광역시 계양구 작전1동(2824562100)","25,417","529","104","90","67","90","84","94","12,477","261","50","38","40","46","39","48","12,940","268","54","52","27","44","45","46"
"인천광역시 계양구 작전2동(2824562200)","23,331","792","140","131","114","115","144","148","11,390","382","61","74","53","53","69","72","11,941","410","79","57","61","62","75","76"
"인천광역시 계양구 작전서운동(2824564000)","31,670","891","155","166","107","139","147","177","15,611","436","62","94","57","67","71","85","16,059","455","93","72","50","72","76","92"
"인천광역시 계양구 계양1동(2824571000)","18,478","409","76","66","62","75","60","70","9,128","217","39","34","27","40","34","43","9,350","192","37","32","35","35","26","27"
"인천광역시 계양구 계양2동(2824572000)","30,155","552","116","90","71","102","78","95","14,990","289","63","46","40","57","37","46","15,165","263","53","44","31","45","41","49"
"인천광역시 계양구 계양3동(2824573000)","22,813","574","80","87","87","100","114","106","11,283","298","43","44","50","54","56","51","11,530","276","37","43","37","46","58","55"
"인천광역시 서구 (2826000000)","662,875","29,721","4,982","5,025","4,559","4,817","5,079","5,259","332,995","15,258","2,550","2,562","2,310","2,496","2,584","2,756","329,880","14,463","2,432","2,463","2,249","2,321","2,495","2,503"
"인천광역시 서구 검암경서동(2826051500)","43,333","1,340","274","256","205","183","206","216","22,273","719","152","132","110","95","110","120","21,060","621","122","124","95","88","96","96"
"인천광역시 서구 연희동(2826053000)","36,003","575","107","89","93","81","89","116","18,324","304","53","50","53","42","49","57","17,679","271","54","39","40","39","40","59"
"인천광역시 서구 청라1동(2826053600)","30,445","1,357","256","243","190","193","237","238","15,138","681","139","112","87","104","123","116","15,307","676","117","131","103","89","114","122"
"인천광역시 서구 청라2동(2826053700)","47,814","1,903","282","280","283","313","358","387","23,622","966","145","131","149","160","185","196","24,192","937","137","149","134","153","173","191"
"인천광역시 서구 청라3동(2826053900)","36,919","1,861","233","292","296","296","355","389","18,312","943","119","146","138","161","179","200","18,607","918","114","146","158","135","176","189"
"인천광역시 서구 가정1동(2826054200)","42,301","2,381","423","428","367","368","389","406","20,887","1,222","210","218","174","180","208","232","21,414","1,159","213","210","193","188","181","174"
"인천광역시 서구 가정2동(2826054300)","17,131","1,150","212","217","191","162","198","170","8,688","633","111","119","108","85","106","104","8,443","517","101","98","83","77","92","66"
"인천광역시 서구 가정3동(2826054400)","8,264","139","33","29","19","18","22","18","4,103","54","9","17","7","5","10","6","4,161","85","24","12","12","13","12","12"
"인천광역시 서구 석남1동(2826055000)","19,693","326","67","59","51","52","53","44","10,115","171","33","34","28","25","28","23","9,578","155","34","25","23","27","25","21"
"인천광역시 서구 석남2동(2826056000)","11,594","235","34","60","36","30","42","33","5,962","122","17","25","21","19","18","22","5,632","113","17","35","15","11","24","11"
"인천광역시 서구 석남3동(2826056100)","12,747","239","55","40","37","33","41","33","6,388","120","30","20","19","17","20","14","6,359","119","25","20","18","16","21","19"
"인천광역시 서구 신현원창동(2826057500)","28,521","834","125","138","134","129","143","165","14,343","433","67","71","62","70","75","88","14,178","401","58","67","72","59","68","77"
"인천광역시 서구 가좌1동(2826058000)","12,296","342","82","78","63","41","39","39","6,536","182","36","43","35","29","22","17","5,760","160","46","35","28","12","17","22"
"인천광역시 서구 가좌2동(2826059000)","17,887","469","102","99","58","67","74","69","8,731","249","50","56","33","37","34","39","9,156","220","52","43","25","30","40","30"
"인천광역시 서구 가좌3동(2826060000)","14,773","228","44","32","29","37","38","48","7,528","117","22","13","11","26","20","25","7,245","111","22","19","18","11","18","23"
"인천광역시 서구 가좌4동(2826061000)","12,133","483","98","77","81","81","72","74","6,182","248","52","42","40","40","38","36","5,951","235","46","35","41","41","34","38"
"인천광역시 서구 검단동(2826068000)","32,218","916","141","139","138","170","168","160","16,857","442","69","65","71","80","71","86","15,361","474","72","74","67","90","97","74"
